id,display_name,class,spec,provenance,defined,registered,implementation_class,implementation_category,configured_spell_category,configured_spell_category_reason,unlock_level,active_kit,balance_entry,spell_school,combo_reference,targeting,cooldown,effective_cost,damage,healing,cc,mobility,summon,delayed,projectile,scaling_path,regression_coverage,definition_location,registration_location
acid_splash,Savfröccs,assassin,poisoner,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage primitive; no persistent/scheduled lifecycle,27,poisoner,yes,class default / primordial,,AOE,45,4,2,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:586,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:586
adrenaline,Adrenalin,assassin,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,4,,yes,class default / primordial,,SELF,60,4,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:294,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:294
aegis,Égisz,warrior,guardian,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE utility primitive; no persistent/scheduled lifecycle,39,guardian,yes,class default / primordial,,AOE,180,8,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:488,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:488
agony,Agónia,warlock,affliction,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate TARGET utility primitive; no persistent/scheduled lifecycle,28,affliction,yes,class default / primordial,,TARGET,25,3,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1389,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1389
ancestral_guidance,Ősi Vezetés,shaman,tidal,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate SELF healing primitive; no persistent/scheduled lifecycle,42,,yes,class default / primordial,,SELF,120,70,,6,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1585,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1585
ancestral_spirit,Ősi Szellem,shaman,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate SELF healing primitive; no persistent/scheduled lifecycle,21,,yes,class default / primordial,,SELF,150,70,,8,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1127,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1127
angry_chicken,Mergez Csirke,archer,beast_master,SPEC,yes,yes,AngryChickenSpell,stateful,,,30,,yes,class default / primordial,,implementation-defined,30,5,8.0,,,,no,yes,yes,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/AngryChickenSpell.java:23,src/main/java/hu/taliann/icesmp/core/IceSMPCore.java:767
anti_magic_shell,Mágiapajzs,death_knight,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,17,,yes,class default / primordial,,SELF,90,5,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:913,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:913
antidote,Ellenméreg,assassin,poisoner,SPEC,yes,yes,AntidoteSpell,dedicated,,,32,,yes,class default / primordial,,implementation-defined,90,4,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/AntidoteSpell.java:29,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:596
arcane_nova,Arkán Lökés,wizard,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage primitive; no persistent/scheduled lifecycle,18,,yes,class default / primordial,"arcane-execution,frost-nova",AOE,90,40,3,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:216,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:216
